sim_time,vehicle_id,vehicle_type,tls_id,lane_id,position_marker,actual_position,speed
98,10,DEFAULT_VEHTYPE,N/A,:123084333_4_0,end,3.53,4.25055490829304
98,29,DEFAULT_VEHTYPE,N/A,-406259064#3_1,end,19.34,17.54444726350259
98,33,DEFAULT_VEHTYPE,N/A,:122875545_3_0,middle,5.92,7.944204168876285
98,41,DEFAULT_VEHTYPE,N/A,-13400754_0,start,0.94,6.542796704869292
98,43,DEFAULT_VEHTYPE,N/A,:123102672_3_0,middle,1.92,3.7656097946767138
98,5,DEFAULT_VEHTYPE,N/A,:405544796#8-AddedOffRampNode_0_2,middle,4.77,16.240410970553548
98,8,DEFAULT_VEHTYPE,N/A,405544796#8_0,middle,14.19,14.466962798205223
98,t163-b2736-sl4.0,bus,N/A,:6734937383_4_0,end,8.94,19.734314965205268
99,13,DEFAULT_VEHTYPE,N/A,:6787846104_5_1,middle,4.44,17.424894477221407
99,21,DEFAULT_VEHTYPE,N/A,:741072323_4_0,middle,8.16,20.400364252771
99,37,DEFAULT_VEHTYPE,N/A,:28947757_12_1,middle,14.79,9.262399762332189
