sim_time,vehicle_id,tls_id,lane_id,eta,speed,priority_granted,phase_index,note
48.3,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
48.3,bus2,N/A,1264201012#0_0,N/A,20.11,no,N/A,No TLS ahead
48.35,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
48.35,bus2,N/A,1264201012#0_0,N/A,20.1,no,N/A,No TLS ahead
48.4,bus1,N/A,406242649#0_1,N/A,27.78,no,N/A,No TLS ahead
48.4,bus2,N/A,1264201012#0_0,N/A,20.1,no,N/A,No TLS ahead
48.45,bus1,N/A,406242649#0_1,N/A,27.78,no,N/A,No TLS ahead
48.45,bus2,N/A,1264201012#0_0,N/A,20.12,no,N/A,No TLS ahead
48.5,bus1,N/A,406242649#0_1,N/A,27.75,no,N/A,No TLS ahead
48.5,bus2,N/A,1264201012#0_0,N/A,20.1,no,N/A,No TLS ahead
48.55,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
48.55,bus2,N/A,1264201012#0_0,N/A,20.1,no,N/A,No TLS ahead
48.6,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
48.6,bus2,N/A,1264201012#0_0,N/A,20.1,no,N/A,No TLS ahead
48.65,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
48.65,bus2,N/A,1264201012#0_0,N/A,20.1,no,N/A,No TLS ahead
48.7,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
48.7,bus2,N/A,:12154695595_0_0,N/A,20.11,no,N/A,No TLS ahead
48.75,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
48.75,bus2,N/A,:12154695595_0_0,N/A,20.1,no,N/A,No TLS ahead
48.8,bus1,N/A,406242649#0_1,N/A,27.75,no,N/A,No TLS ahead
48.8,bus2,N/A,:12154695595_0_0,N/A,20.11,no,N/A,No TLS ahead
48.85,bus1,N/A,406242649#0_1,N/A,27.77,no,N/A,No TLS ahead
48.85,bus2,N/A,:12154695595_0_0,N/A,20.1,no,N/A,No TLS ahead
48.9,bus1,N/A,406242649#0_1,N/A,27.76,no,N/A,No TLS ahead
48.9,bus2,N/A,:12154695595_0_0,N/A,20.12,no,N/A,No TLS ahead
48.95,bus1,N/A,406242649#0_1,N/A,27.78,no,N/A,No TLS ahead
48.95,bus2,N/A,:12154695595_0_0,N/A,20.11,no,N/A,No TLS ahead
